Unnamed: 0,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,views,votes
22,cslusarc,"Jan 1st, 2020 12:32 am",,"Jul 16th, 2020 7:38 pm",,,382,,The Bay,Apparel,"2020 Promo Codes, Coupons & 1-Day Sales",318354,131
23,Ac131313,"Jul 16th, 2020 1:44 am","July 16, 2020","Jul 16th, 2020 7:36 pm",Computers & Electronics,89.99,25,40% + $10,Staples,Telecom,Ooma Telo (Wired) and Telo Air 2 (Wifi Enabled) - $89.99 and $99.99 - Home Phone Hub ($5/mo landline),3841,5
24,Njoelk,"Jun 5th, 2020 12:15 am","June 11, 2020","Jul 16th, 2020 7:29 pm",Computers & Electronics,$230,31,$50,Best Buy,Peripherals & Accessories,"(Restocked w/ backorder) Acer Nitro 23.8"" FHD 165Hz 2ms GTG IPS Monitor (XV240Y) $230",14431,13
25,itsNaeng,"Jul 15th, 2020 7:48 am","July 16, 2020","Jul 16th, 2020 7:27 pm",,249.99,37,20% off,,Computers & Electronics,SanDisk SSD PLUS 2TB Internal SSD - SATA III - $249.99,6847,0
26,ambronet,"Jul 16th, 2020 2:58 pm",,"Jul 16th, 2020 7:25 pm",Computers & Electronics,23.99,1,%70 off,,Video Games,Shadow of the Tomb Raider: Definitive Edition - PC Steam Game $23.99,1056,1
27,jmons20,"Jul 2nd, 2020 12:18 pm",,"Jul 16th, 2020 7:23 pm",,,74,,Canadian Tire,Automotive,Collect $100 CT Money on $250+ spend at Canadian Tire Auto Service Centre,11473,-10
28,paaji,"Jun 4th, 2020 1:51 am",,"Jul 16th, 2020 7:21 pm",,69.99,54,,Costco,Home & Garden,Folding Work Table $69.99,36832,28
29,Blubbs,"Jul 3rd, 2020 12:21 pm",,"Jul 16th, 2020 7:11 pm",Computers & Electronics,,120,,,Cell Phones,"Samsung Galaxy S10 Lite (6.7"", 128GB, 8GB, SD855, 4500mah) US$431 / CAD$585 (and Note 10 Lite CAD$572)",28281,26
0,SayianPrince,"Jun 9th, 2020 4:12 pm",,"Jul 16th, 2020 7:10 pm",Restaurants,,383,,Wendy's,Fast Food,Wendys App Free Spicy Chicken With Purchase,97575,198
1,wittyG113,"Jul 9th, 2020 2:47 pm","July 22, 2020","Jul 16th, 2020 6:59 pm",,34.99,133,,The Source,Computers & Electronics,Xtreme Gaming LED Backlit Mechanical Gaming Keyboard - $34.99,26850,73
2,MaDgamEr,"Jul 13th, 2020 12:31 am",,"Jul 16th, 2020 6:58 pm",Computers & Electronics,169.99,11,$30 (15%),Amazon.ca,Peripherals & Accessories,XPG SX8200 Pro 1TB 3D NAND NVMe Gen3x4 PCIe M.2 2280 Solid State Drive 169.99$,3915,0
3,sportznutt,"Jul 16th, 2020 8:34 am",,"Jul 16th, 2020 6:57 pm",Computers & Electronics,$699,18,$50,Leon's,Televisions,Samsung 58” HDR 4K Smart TV ($699) - $50 off,2435,0
4,Cheapmanhawk,"Jul 8th, 2020 12:58 pm",,"Jul 16th, 2020 6:46 pm",Automotive,,130,50% off,Walmart,Auto Parts & Accessories,Walmart clearance on tires-50% off,35650,28
5,el'ation,"May 11th, 2020 2:38 pm",,"Jul 16th, 2020 6:43 pm",,69.99/kg,961,,Costco,Groceries,Wagyu beef $69.99-$79.99/kg,222213,83
6,eljay0,"Jul 16th, 2020 5:10 pm",,"Jul 16th, 2020 6:43 pm",Home & Garden,$179,1,$120,Lowe's,Outdoors & Patio,Kobalt 13-Amp 21-in Corded Electric Lawn Mower - $179,742,0
7,ssjlancer,"Jul 6th, 2020 6:55 pm",,"Jul 16th, 2020 6:39 pm",,1029,67,,Lenovo Canada,Computers & Electronics,"Lenovo Legion 5 gaming laptop 4600H, 120hz, GTX 1650 $1029 + 8% rakuten",18679,17
8,mystery,"Jul 8th, 2020 6:17 pm",,"Jul 16th, 2020 6:37 pm",,$4,61,,Dollarama,Computers & Electronics,"Incase 13"" or 12"" Macbook air Sleeve $4",10650,22
9,gizmokrap,"Jul 16th, 2020 1:02 pm","July 17, 2020","Jul 16th, 2020 6:24 pm",Computers & Electronics,,7,Up to 90%,STEAM,Video Games,Banner Saga Franchise Sale [HOT],1975,6
10,bwabwa,"Jul 16th, 2020 11:56 am",,"Jul 16th, 2020 6:22 pm",,$36.64,29,27%,Amazon.ca,Computers & Electronics,"Lightening Deal - Aluminum Laptop Riser (supports up to 15.6"")",6757,-7
