,tabpfn_ausreisser_wert,tabpfn_ausreisser_wert_norm
72,12591898000.0,5.412451e-13
73,1796475500.0,7.721309e-14
74,34501476.0,1.4761391e-15
75,4224460500.0,1.8157797e-13
76,22208170000.0,9.545924e-13
77,6886109700.0,2.9598668e-13
78,91377440.0,3.9209037e-15
79,50139508.0,2.1483267e-15
80,14341760000.0,6.164614e-13
81,153223650.0,6.57931e-15
82,2408717700000.0,1.0353667e-10
83,2.326439e+22,1.0
84,97680264.0,4.1918254e-15
85,1634349600.0,7.0244246e-14
86,5610792.5,2.342978e-16
87,966884300000.0,4.1560692e-11
88,12528999000.0,5.385415e-13
89,956612800000.0,4.1119178e-11
90,12501544000.0,5.3736133e-13
91,872585.5,3.0630018e-17
92,15884287.0,6.758952e-16
93,6925736.5,2.9081955e-16
94,398736.03,1.0262003e-17
95,9137945.0,3.8590945e-16
96,796938.75,2.7378408e-17
97,1393384600.0,5.988657e-14
98,5696371600000000.0,2.4485368e-07
99,2883082.8,1.1704952e-16
100,18189627000.0,7.8185874e-13
101,203367090.0,8.734683e-15
102,213544880000.0,9.179038e-12
103,127803466000.0,5.4935162e-12
104,317548950000.0,1.3649564e-11
105,23399446.0,9.98928e-16
106,5192165.5,2.1630347e-16
107,17064270.0,7.266158e-16
108,817921.7,2.8280342e-17
109,214633940.0,9.2189795e-15
110,715040.3,2.3858073e-17
111,522155.16,1.556707e-17
112,14894166000000.0,6.4021305e-10
113,1810287200000.0,7.7813644e-11
114,40668396.0,1.741219e-15
115,83049460.0,3.5629327e-15
116,8077767.5,3.4033863e-16
117,270833.97,4.764242e-18
118,3019556000.0,1.2978617e-13
119,273787.28,4.8911876e-18
120,2999504600.0,1.2892428e-13
121,4305892.0,1.7820776e-16
122,60831796.0,2.6079255e-15
123,709597950.0,3.0494585e-14
124,1120086.5,4.1268636e-17
125,449478.88,1.2443141e-17
126,60159170.0,2.5790133e-15
127,206895.2,2.0158888e-18
128,2546248.8,1.02571005e-16
129,28559450000.0,1.2275968e-12
130,139325830000.0,5.9887954e-12
131,1558080000.0,6.696586e-14
132,7631142400.0,3.2801127e-13
133,5.2255293e+17,2.2461492e-05
134,1776751700.0,7.636528e-14
135,6043606.0,2.5290194e-16
136,64671844.0,2.7729868e-15
137,19223210.0,8.1941597e-16
138,89561816.0,3.842861e-15
