Unnamed: 0,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,views,votes
10,sprung,"jul 14th, 2020 11:03 pm",_nan_,"jul 14th, 2020 11:42 pm",automotive,$110.49,2,33% off,amazon.ca,auto parts & accessories,amazon - $110.49 awesafe mirror dash cam 12 inch full touch screen. dual 1080p,1659,-2
11,tseivan,"jul 14th, 2020 8:17 pm","july 16, 2020","jul 14th, 2020 11:00 pm",computers & electronics,$499,9,$200 off,best buy,televisions,"toshiba 55"" 4k uhd hdr led smart tv (55lf621c21) - fire tv edition $499",2170,0
12,polymertank,"jul 8th, 2020 7:31 pm","august 2, 2020","jul 14th, 2020 10:53 pm",beauty & wellness,1491,73,50%,home depot,home & garden,weber summit s470 natural gas bbq 50% off,25148,4
13,tonershop,"jun 17th, 2020 3:09 pm",_nan_,"jul 14th, 2020 10:39 pm",computers & electronics,559,328,68% off,lenovo canada,computers & tablets/ereaders,"lenovo nano desktop: i5-8265u, 8gb, 512gb ssd, win 10 pro $559 - 8% rebate",87989,90
14,essjayess,"jul 3rd, 2020 8:04 pm","august 4, 2020","jul 14th, 2020 10:35 pm",small business,$7.92,51,64% off,amazon.ca,groceries,"la grille montreal steak spice seasoning, 825g, $7.92",14430,39
15,zaibii786,"jul 9th, 2020 10:55 am","july 10, 2020","jul 14th, 2020 10:30 pm",financial services,$2.48,52,300$,petro canada,groceries,"cavendish flavorcrisp $2.48 - 3,000 pc points",17671,0
16,causeburn,"jun 28th, 2020 9:04 pm",_nan_,"jul 14th, 2020 10:27 pm",entertainment,30.99,29,43% off,amazon.ca,"books, music, movies, magazines",the art of the last of us part ii hardcover ($53.99 - 43% = $30.99),10965,0
17,all3nb,"jul 12th, 2020 8:28 pm","may 3, 2020","jul 14th, 2020 10:21 pm",kids & babies,19.99,33,80-90% off,newegg,apparel,oakley cycling jerseys and bibs,9978,34
18,guy in a bucket,"jul 8th, 2020 10:36 am","august 16, 2020","jul 14th, 2020 10:17 pm",computers & electronics,$279,34,_nan_,amazon.ca,cameras,anker eufycam wireless 2-camera security system $279.99 (reg. $400),8357,3
19,diafel,"jul 12th, 2020 4:19 am","june 22, 2020","jul 14th, 2020 10:16 pm",computers & electronics,299.99,45,100.00,ebay.ca,computers & tablets/ereaders,asus gtx 1660 super - $299.99,7997,0
20,inter01fan,"jun 1st, 2020 10:25 am",_nan_,"jul 14th, 2020 10:11 pm",computers & electronics,897.99,235,_nan_,costco,televisions,hisense q7g 55'' 4k uled tv $597 w/ fs,51261,15
21,saurez7777,"jul 13th, 2020 11:13 am",_nan_,"jul 14th, 2020 9:51 pm",home & garden,28,1,_nan_,home depot,home & garden,rakuten 5% cash back,2008,15
22,mandm1209,"jul 14th, 2020 9:41 pm",_nan_,"jul 14th, 2020 9:45 pm",automotive,$4,1,_nan_,dollarama,other,papermate mechanical pencils 24ct,1583,0
23,jrguinness,"may 20th, 2020 7:03 pm","october 31, 2020","jul 14th, 2020 9:38 pm",financial services,$1169,56,$80off,td first class visa infinite,credit cards,free $50 gift card for td first class travel visa infinite card holders,17536,5
24,cheapshopper,"jul 10th, 2020 6:47 pm","july 23, 2020","jul 14th, 2020 9:32 pm",entertainment,24.99,26,100%,microsoft store,groceries,[ymmv] get 50 bonus airmiles when you buy almost anything in-store,3772,7
25,krime1k,"jul 14th, 2020 12:25 am",_nan_,"jul 14th, 2020 9:30 pm",kids & babies,_nan_,2,_nan_,walmart,toys & games,lego classic medium creative brick box 10696 - $27.86,2752,7
